,,,,,,featureType,,,,,maxDate,minDate,,,,,,,,,,,,,,,,,,,,,
"Becker, J., T. Elliott","0.2303287, 38.7335902, 0.2303287, 38.7335902",2014-04-27T17:36:38Z,jbecker,2,Representative location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [0.2303287, 38.7335902]}",osm-location,precise,representative,2100,1700,2017-04-20T21:24:28Z,/places/265897/osm-location,/places/265897,38.7335902,"38.7335902,0.2303287",0.2303287,,M,modern,"1700.0,2100.0",OSM location,0c91718aeced44915cb8bd7cec01da9a,,,,,38,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","-5.9236482, 35.7910308, -5.9236482, 35.7910308",2017-06-23T16:37:42Z,jbecker,2,Representative location based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [-5.9236482, 35.7910308]}",osm-location-of-modern-cap-spartel-lighthouse,precise,representative,2100,1700,2018-06-07T20:58:57Z,/places/275724/osm-location-of-modern-cap-spartel-lighthouse,/places/275724,35.7910308,"35.7910308,-5.9236482",-5.9236482,,M,modern,"1700.0,2100.0",OSM location of Cap Spartel,15605d78e47445a0976fca8ca369bc55,,,,,157,Early Modern,EUROPE,1450,1
"Becker, J.","59.7982879, 22.533032, 59.7982879, 22.533032",2017-05-14T14:57:45Z,jbecker,1,Representative location of the modern Ra's al Hadd Lighthouse based on an OpenStreetMap node. The Ra's al Hadd Lighthouse is an indicator of the location of the ancient promontory.,cape,"{""type"": ""Point"", ""coordinates"": [59.7982879, 22.533032]}",osm-location-of-modern-ras-al-hadd-lighthouse,precise,associated_modern,2100,1700,2017-05-23T16:04:38Z,/places/29633/osm-location-of-modern-ras-al-hadd-lighthouse,/places/29633,22.533032,"22.533032,59.7982879",59.7982879,,M,modern,"1700.0,2100.0",OSM location of modern Ra's al Hadd Lighthouse,397628acef864599a93ddf3a8973e0b0,,,,,243,Early Modern,EUROPE,1450,1
"Becker, J., S. Dunn, T. Elliott","21.377, 38.212, 21.377, 38.212",2013-01-30T16:49:55Z,jbecker,3,verified in Google Earth 2013 based on location in Barrington Atlas.,cape,"{""type"": ""Point"", ""coordinates"": [21.377, 38.212]}",location-of-araxos-pr,precise,representative,2100,1700,2017-02-03T12:18:20Z,/places/570101/location-of-araxos-pr,/places/570101,38.212,"38.212,21.377",21.377,,M,modern,"1700.0,2100.0",Imagery location of Cape Araxos,6cc64e8e706ca126fb53a43f5b97294e,,,,,434,Early Modern,EUROPE,1450,1
"Becker, J.","11.0416578, 37.0836241, 11.0416578, 37.0836241",2018-04-19T15:15:43Z,jbecker,1,Representative point location of the cape based on OpenStreetMap.,cape,"{""type"": ""Point"", ""coordinates"": [11.0416578, 37.0836241]}",osm-location-of-cap-bon,precise,representative,2100,1700,2019-09-27T20:08:37Z,/places/315036/osm-location-of-cap-bon,/places/315036,37.0836241,"37.0836241,11.0416578",11.0416578,,M,modern,"1700.0,2100.0",OSM location of Cap Bon,c372e8b1a10646bba0707844860fd7c0,,,,,691,Early Modern,EUROPE,1450,1
"Becker, J.","10.2804885, 37.1776656, 10.2804885, 37.1776656",2018-04-19T23:57:21Z,jbecker,1,Location based on OpenStreetMap,cape,"{""type"": ""Point"", ""coordinates"": [10.2804885, 37.1776656]}",osm-location-of-cap-farina,precise,representative,2100,1700,2021-02-05T12:49:37Z,/places/315120/osm-location-of-cap-farina,/places/315120,37.1776656,"37.1776656,10.2804885",10.2804885,,M,modern,"1700.0,2100.0",OSM location of Cap Farina,2ae13d862ad742e881896f9beeff3586,,,,,1099,Early Modern,EUROPE,1450,1
"Becker, J.","43.314, 12.479, 43.314, 12.479",2013-08-03T01:03:37Z,jbecker,2,"Coordinates after GeoHack, verified in Google Earth.",cape,"{""type"": ""Point"", ""coordinates"": [43.314, 12.479]}",location-of-ras-siyyan,precise,representative,2100,1700,2020-10-14T19:25:28Z,/places/479353527/location-of-ras-siyyan,/places/479353527,12.479,"12.479,43.314",43.314,,M,modern,"1700.0,2100.0",Imagery location of Ras Siyyan,0fce1cc8128a2c0362487aff66269cd3,,,,,1186,Early Modern,EUROPE,1450,1
"Horne, R., J. Becker, T. Elliott","24.2425, 35.475278, 24.2425, 35.475278",2013-05-03T12:28:13Z,rmhorne,6,Location based on GeoNames,cape,"{""type"": ""Point"", ""coordinates"": [24.2425, 35.475278]}",akra-drapano,precise,representative,2100,1700,2020-07-10T22:25:29Z,/places/589766/akra-drapano,/places/589766,35.475278,"35.475278,24.2425",24.2425,,M,modern,"1700.0,2100.0",GeoNames Location of Ãkra DrÃ¡pano,8f8a4e7b902ed37d055263f3031f87a4,,,,,15,Early Modern,OTHER CONTINENT,1450,1
"Horne, R., J. Becker, T. Elliott","24.00573, 35.21337, 24.00573, 35.21337",2013-05-03T12:40:28Z,rmhorne,2,"Location based on GeoNames, verified in OSM.",cape,"{""type"": ""Point"", ""coordinates"": [24.00573, 35.21337]}",akra-plaka,precise,representative,2100,1700,2020-07-10T22:27:02Z,/places/589803/akra-plaka,/places/589803,35.21337,"35.21337,24.00573",24.00573,,M,modern,"1700.0,2100.0",GeoNames Location of Ãkra PlÃ¡ka,90aaa8b9ba9207870a2058fe9e637cc0,,,,,44,Early Modern,EUROPE,1450,1
"Horne, R.","25.38526, 35.334, 25.38526, 35.334",2013-05-02T19:48:02Z,rmhorne,2,Representative location based on GeoNames.,cape,"{""type"": ""Point"", ""coordinates"": [25.38526, 35.334]}",ormos-khersonisos,precise,representative,2100,1700,2017-09-13T06:07:14Z,/places/590098/ormos-khersonisos,/places/590098,35.334,"35.334,25.38526",25.38526,,M,modern,"1700.0,2100.0",GeoNames location of Ã“rmos KhersÃ³nisos,24d67180fee6c90b6293b809970f0f7b,,,,,38,Early Modern,EUROPE,1450,1
"Becker, J., R. Horne","27.1123, 36.7578, 27.1123, 36.7578",2013-02-08T21:15:57Z,jbecker,2,Representative location based on Google Earth.,cape,"{""type"": ""Point"", ""coordinates"": [27.1123, 36.7578]}",location-of-lak-e-ter-pr,precise,representative,2100,1700,2017-09-14T14:46:29Z,/places/599748/location-of-lak-e-ter-pr,/places/599748,36.7578,"36.7578,27.1123",27.1123,,M,modern,"1700.0,2100.0",Google Earth imagery location of Lak(e)ter Pr.,78fb99c36173272bacb1d5b31b40c91e,,,,,42,Early Modern,EUROPE,1450,1
"Becker, J.","13.589333, 41.210567, 13.589333, 41.210567",2019-01-17T03:12:37Z,jbecker,0,,cape,"{""type"": ""Point"", ""coordinates"": [13.589333, 41.210567]}",imagery-location-of-punta-dello-stendardo,precise,representative,2100,1700,2019-02-28T22:44:08Z,/places/432735/imagery-location-of-punta-dello-stendardo,/places/432735,41.210567,"41.210567,13.589333",13.589333,,M,modern,"1700.0,2100.0",Imagery location of Punta dello Stendardo,a2ccd55096cd4a9fbf4b840f76b4062c,,,,,218,Early Modern,EUROPE,1450,1
