authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,,roundedLat,eras,Continent,-2000,2000,timeDiff
"Becker, J., T. Elliott","-0.45, 38.3, -0.45, 38.3",2020-09-27T15:04:41Z,jbecker,1,Coordinates following GeoNames,water-open,"{""type"": ""Point"", ""coordinates"": [-0.45, 38.3]}",imagery-location-of-bahia-de-alicante,precise,representative,2099,2000,2020-09-28T20:39:04Z,/places/265923/imagery-location-of-bahia-de-alicante,/places/265923,38.3,"38.3,-0.45",-0.45,,T,twenty-first-ce,"2000.0,2099.0",GeoNames location of BahÃ­a de Alicante,ea93f28411bd44ff8376b41f7b82e441,,,,,0,Classical,AFRICA,-600,2001,99
"Becker, J.","-4.1307, 36.7576667, -4.1103798, 36.794311",2020-09-14T21:52:49Z,jbecker,1,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-4.1103798, 36.7576667], [-4.1119457, 36.7584493], [-4.1127065, 36.7588948], [-4.1132523, 36.7593376], [-4.1148659, 36.7608954], [-4.115397, 36.761524], [-4.115585, 36.761833], [-4.1307, 36.794311], [-4.1180185, 36.7810737], [-4.1173806, 36.780336], [-4.1168143, 36.7794808], [-4.116482, 36.778782], [-4.1103798, 36.7576667]]]}",osm-location-of-rao-va-c-lez,precise,representative,2099,2000,2020-10-14T19:30:28Z,/places/265958/osm-location-of-rao-va-c-lez,/places/265958,36.77621371,"36.7762137108,-4.11921265059",-4.119212651,,T,twenty-first-ce,"2000.0,2099.0",OSM location of RÃ­o VÃ©lez,c1f05078eb964ac4b91556b8fa7ee7f4,,,,,0,Classical,AFRICA,-600,2001,99
"Becker, J.","-0.376766, 39.6778721, -0.2382067, 39.7879304",2020-09-14T21:58:31Z,jbecker,1,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-0.2980609, 39.6778721], [-0.3101564, 39.6781202], [-0.3106447, 39.6781756], [-0.3110566, 39.6782409], [-0.3114955, 39.6783333], [-0.3191295, 39.6803935], [-0.3192538, 39.6804521], [-0.3201246, 39.6808934], [-0.3206052, 39.6811648], [-0.3208227, 39.6813499], [-0.3436143, 39.7032174], [-0.3450741, 39.7056829], [-0.3470115, 39.7091837], [-0.376766, 39.7879304], [-0.3670049, 39.7834052], [-0.3638193, 39.7812517], [-0.2382067, 39.6787349], [-0.2980609, 39.6778721]]]}",osm-location-of-rao-palancia,precise,representative,2099,2000,2020-10-14T19:31:34Z,/places/266082/osm-location-of-rao-palancia,/places/266082,39.71647998,"39.7164799758,-0.321384314632",-0.321384315,,T,twenty-first-ce,"2000.0,2099.0",OSM location of RÃ­o Palancia,38163180c2164bd49e9eeace88fd8057,,,,,0,Classical,AFRICA,-600,2001,99
"Becker, J., T. Elliott","-5.9744811, 35.5946094, -5.9382001, 35.6186755",2020-03-30T13:11:52Z,jbecker,2,Representative location based on OpenStreetMap,lake,"{""type"": ""Polygon"", ""coordinates"": [[[-5.9557026, 35.5946094], [-5.9722448, 35.5965966], [-5.9744811, 35.5975948], [-5.9734169, 35.5986383], [-5.9482264, 35.6147697], [-5.9418787, 35.6186755], [-5.9416232, 35.6185633], [-5.9415086, 35.6183989], [-5.9386513, 35.6142943], [-5.9383911, 35.6137797], [-5.9382001, 35.6131835], [-5.938227, 35.6127989], [-5.9385572, 35.6122599], [-5.954914, 35.5946541], [-5.9557026, 35.5946094]]]}",osm-location-of-oued-tahaddart,precise,associated_modern,2099,2000,2020-04-10T15:39:26Z,/places/275613/osm-location-of-oued-tahaddart,/places/275613,35.60468924,"35.6046892418,-5.9544297479",-5.954429748,,T,twenty-first-ce,"2000.0,2099.0",OSM location of Oued Tahaddart,6aaf750536a34db6b9b5bd0635520d0b,,,,,0,Classical,AFRICA,-600,2001,99
"Becker, J.","3.2311184, 36.5780819, 3.3549743, 36.7781566",2020-09-30T14:38:10Z,jbecker,1,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[3.3183084, 36.5780819], [3.2406653, 36.7164625], [3.2405344, 36.7168377], [3.2404384, 36.7173861], [3.2311184, 36.7781566], [3.2457918, 36.7773074], [3.2461866, 36.7771974], [3.2464098, 36.7770599], [3.2467016, 36.7768536], [3.247002, 36.7766336], [3.2472252, 36.7763861], [3.2475428, 36.7760218], [3.3476701, 36.6494305], [3.3512836, 36.635037], [3.3549743, 36.6168036], [3.3521703, 36.6046888], [3.328651, 36.5814118], [3.3183084, 36.5780819]]]}",osm-location-of-oued-el-hamiz,precise,representative,2099,2000,2020-10-14T19:41:06Z,/places/295314/osm-location-of-oued-el-hamiz,/places/295314,36.67854943,"36.6785494279,3.29196679275",3.291966793,,T,twenty-first-ce,"2000.0,2099.0",OSM location of Oued El Hamiz,44ecee11b06147ea8926b5d96fe3521a,,,,,36,Classical,AFRICA,-600,2001,99
"Elliott, T., J. Becker","3.62662, 36.13804, 3.62662, 36.13804",2021-03-02T12:41:26Z,thomase,3,Coordinates following GeoHack,mountain,"{""type"": ""Point"", ""coordinates"": [3.62662, 36.13804]}",geohack-location-of-djebel-guern-es-slem,precise,representative,2099,2000,2021-03-02T14:47:45Z,/places/295323/geohack-location-of-djebel-guern-es-slem,/places/295323,36.13804,"36.13804,3.62662",3.62662,,T,twenty-first-ce,"2000.0,2099.0",GeoHack Location of Djebel Guern es-Slem,c26e7171db9a47dcba3447f1175af710,,,,,35,Classical,AFRICA,-600,2001,99
"Christiansen, B., J. Becker","44.026552, 40.0067314, 44.026552, 40.0067314",2020-05-14T21:55:11Z,bchristiansen2,2,Representative location based on OpenStreetMap,settlement-modern,"{""type"": ""Point"", ""coordinates"": [44.026552, 40.0067314]}",kazanci,precise,representative,2099,2000,2020-06-22T20:09:03Z,/places/904615255/kazanci,/places/904615255,40.0067314,"40.0067314,44.026552",44.026552,,T,twenty-first-ce,"2000.0,2099.0",OSM location of KazancÄ±,ec2e996bbdf642e7b435fba85ba41e9e,,,,,35,Classical,AFRICA,-600,2001,99
"Becker, J.","12.7545074, 41.8341903, 12.7563679, 41.8354513",2020-09-28T14:21:37Z,jbecker,1,Way outlining a modern associated location based on information derived from OpenStreetMap.,settlement-modern,"{""type"": ""Polygon"", ""coordinates"": [[[12.7552199, 41.8341903], [12.7549329, 41.8342003], [12.7547666, 41.8342223], [12.7546486, 41.8342703], [12.7545074, 41.8344922], [12.7549302, 41.8354393], [12.7549624, 41.8354513], [12.7563679, 41.83466], [12.7563652, 41.8344941], [12.7555257, 41.8342283], [12.7553889, 41.8342103], [12.7552199, 41.8341903]]]}",osm-location-of-parco-degli-ulivi,precise,representative,2099,2000,2020-10-01T10:28:21Z,/places/640651840/osm-location-of-parco-degli-ulivi,/places/640651840,41.83470388,"41.8347038794,12.7553665833",12.75536658,,T,twenty-first-ce,"2000.0,2099.0",OSM location of Parco degli Ulivi,4d2c339487f9463d83c1caa57ab5ef4e,,,,,36,Classical,AFRICA,-600,2001,99
"Becker, J.","4.737541, 43.6588641, 6.724963, 44.9283213",2020-05-03T20:45:08Z,jbecker,1,Representative location based on OpenStreetMap.,river,"{""type"": ""Polygon"", ""coordinates"": [[[5.597445, 43.6588641], [5.529267, 43.660773], [5.512602, 43.6626975], [5.4942467, 43.666015], [5.1786485, 43.7352991], [5.1117231, 43.7595488], [4.737541, 43.9226408], [6.6795097, 44.924672], [6.7132102, 44.9283213], [6.7138493, 44.9283076], [6.7143568, 44.9282953], [6.7145466, 44.9282764], [6.7154863, 44.928105], [6.717492, 44.927577], [6.7175603, 44.9275492], [6.7177769, 44.9273814], [6.7224472, 44.9209313], [6.7248592, 44.9165504], [6.7249555, 44.9156713], [6.724963, 44.9153381], [6.7237132, 44.8974958], [6.605458, 44.6696786], [6.6051332, 44.6692387], [6.5945476, 44.6565174], [6.5128707, 44.5612919], [5.8095664, 43.7786375], [5.8093615, 43.7784341], [5.8042967, 43.7735323], [5.7238349, 43.6976119], [5.7233772, 43.6972843], [5.711333, 43.689681], [5.7110488, 43.6895059], [5.6096028, 43.6607207], [5.6042587, 43.6594555], [5.6035726, 43.6593087], [5.601902, 43.6590454], [5.6007445, 43.6589203], [5.5994676, 43.6588685], [5.597445, 43.6588641]]]}",osm-location-of-la-durance,precise,representative,2099,2000,2020-05-14T07:56:40Z,/places/148069/osm-location-of-la-durance,/places/148069,44.16514236,"44.1651423561,5.86142959452",5.861429595,,T,twenty-first-ce,"2000.0,2099.0",OSM location of  La Durance,3d63e01df2a548dabe55de4550dd4f2b,,,,,36,Classical,AFRICA,-600,2001,99
"Becker, J.","4.4304868, 44.0151708, 4.4312366, 44.0158459",2020-09-18T14:05:26Z,jbecker,1,Location based on OpenStreetMap,"spring,reservoir","{""type"": ""Polygon"", ""coordinates"": [[[4.4305982, 44.0151708], [4.4304868, 44.0151734], [4.4311615, 44.0158459], [4.4312366, 44.0157822], [4.4311293, 44.0152769], [4.4305982, 44.0151708]]]}",osm-location,precise,representative,2099,2000,2020-10-14T19:33:19Z,/places/148224/osm-location,/places/148224,44.01540217,"44.0154021747,4.43095858052",4.430958581,,T,twenty-first-ce,"2000.0,2099.0",OSM location,4eae5180742d45028a6850379cd8aaa7,,,,,0,Classical,AFRICA,-600,2001,99
