authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,,roundedLat,eras,Continent,Starting time,Existence period
"Hiebert, F., P. Kohl, D. R. Talbert, T. Elliott, S. Gillies","69.934237, 37.108064, 69.934237, 37.108064",2011-03-10T00:48:10Z,"F.T. Hiebert, P.L. Kohl",1,Point location,unknown,"{""type"": ""Point"", ""coordinates"": [69.934237, 37.108064]}",darmc-location-21758,precise,representative,640,300,2012-02-15T18:43:14Z,/places/971859/darmc-location-21758,/places/971859,37.108064,"37.108064,69.934237",69.934237,,L,late-antique,"300.0,640.0",DARMC location 21758,ee4d88928e057ead5d964c1fc28c996c,,,,,0,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","68.0, 38.0, 69.0, 39.0",2010-10-06T16:54:20Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[68.0, 38.0], [68.0, 39.0], [69.0, 39.0], [69.0, 38.0], [68.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:44Z,/places/973952/batlas-location,/places/973952,38.5,"38.5,68.5",68.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,86dbf725cd4f18d068af4717b006e38b,,,,,0,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","68.0, 38.0, 69.0, 39.0",2010-10-06T16:54:21Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[68.0, 38.0], [68.0, 39.0], [69.0, 39.0], [69.0, 38.0], [68.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:44Z,/places/973953/batlas-location,/places/973953,38.5,"38.5,68.5",68.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,9e86f239dfb1bd5e4e1c6420334be7fe,,,,,0,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","68.0, 38.0, 69.0, 39.0",2010-10-06T16:54:23Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[68.0, 38.0], [68.0, 39.0], [69.0, 39.0], [69.0, 38.0], [68.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:45Z,/places/973954/batlas-location,/places/973954,38.5,"38.5,68.5",68.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,115f739e10aab29e51eb59ede7a9d115,,,,,31,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","69.0, 38.0, 70.0, 39.0",2010-10-06T16:54:24Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[69.0, 38.0], [69.0, 39.0], [70.0, 39.0], [70.0, 38.0], [69.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:45Z,/places/973955/batlas-location,/places/973955,38.5,"38.5,69.5",69.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,5c1f5c316dbf9796d039d429be5c57a6,,,,,36,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","69.0, 38.0, 70.0, 39.0",2010-10-06T16:54:25Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[69.0, 38.0], [69.0, 39.0], [70.0, 39.0], [70.0, 38.0], [69.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:46Z,/places/973956/batlas-location,/places/973956,38.5,"38.5,69.5",69.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,139163f98daf34a83654b00f70e56325,,,,,36,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, R. Talbert, T. Elliott, S. Gillies","69.0, 38.0, 70.0, 39.0",2010-10-06T16:54:27Z,"F.T. Hiebert, P.L. Kohl",0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[69.0, 38.0], [69.0, 39.0], [70.0, 39.0], [70.0, 38.0], [69.0, 38.0]]]}",batlas-location,rough,representative,640,300,2012-02-15T18:43:46Z,/places/973957/batlas-location,/places/973957,38.5,"38.5,69.5",69.5,,L,late-antique,"300.0,640.0",Barrington Atlas location,b0940b56281ef4983e6d7f8efbb8168f,,,,,35,Early Modern,AFRICA,1450,340
"Hiebert, F., P. Kohl, D. R. Talbert, T. Elliott, S. Gillies","69.750573, 35.38256, 69.750573, 35.38256",2011-08-04T21:20:28Z,"F.T. Hiebert, P.L. Kohl",1,representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [69.750573, 35.38256]}",darmc-location-31698,precise,representative,640,300,2012-02-15T18:43:46Z,/places/973958/darmc-location-31698,/places/973958,35.38256,"35.38256,69.750573",69.750573,,L,late-antique,"300.0,640.0",DARMC location 31698,dcb32b7626e7e648cb9dc77de38dac17,,,,,36,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","10.460344, 55.29672, 10.460344, 55.29672",2011-08-17T22:16:04Z,J.H.F. Bloemers,1,representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [10.460344, 55.29672]}",darmc-location-33646,precise,representative,640,300,2012-02-15T18:44:40Z,/places/98916/darmc-location-33646,/places/98916,55.29672,"55.29672,10.460344",10.460344,,L,late-antique,"300.0,640.0",DARMC location 33646,cb14921713b852c242c4d6b4c38cef5a,,,,,36,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","6.515702, 52.857888, 6.515702, 52.857888",2011-03-09T20:50:23Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [6.515702, 52.857888]}",darmc-location-11681,precise,representative,640,300,2012-02-15T18:44:47Z,/places/98923/darmc-location-11681,/places/98923,52.857888,"52.857888,6.515702",6.515702,,L,late-antique,"300.0,640.0",DARMC location 11681,83772167fa4a6a32d32f17b173959298,,,,,36,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","10.501326, 55.22545, 10.501326, 55.22545",2011-03-09T20:54:28Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [10.501326, 55.22545]}",darmc-location-11828,precise,representative,640,300,2012-02-15T18:44:51Z,/places/98928/darmc-location-11828,/places/98928,55.22545,"55.22545,10.501326",10.501326,,L,late-antique,"300.0,640.0",DARMC location 11828,664555cdb6fdfe4879b82e24df5488a9,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","8.705947, 55.283701, 8.705947, 55.283701",2011-03-09T21:03:16Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [8.705947, 55.283701]}",darmc-location-12148,precise,representative,640,300,2012-10-20T23:06:39Z,/places/98943/darmc-location-12148,/places/98943,55.283701,"55.283701,8.705947",8.705947,,L,late-antique,"300.0,640.0",DARMC location 12148,b7d405e4313b4841637b21f84c53a0a4,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","9.465407, 55.25428, 9.465407, 55.25428",2011-03-09T21:07:41Z,J.H.F. Bloemers,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [9.465407, 55.25428]}",darmc-location-12309,precise,representative,640,300,2012-02-15T18:45:02Z,/places/98950/darmc-location-12309,/places/98950,55.25428,"55.25428,9.465407",9.465407,,L,late-antique,"300.0,640.0",DARMC location 12309,853fa62ced94179055217ba25827d312,,,,,35,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","9.516529, 53.484683, 9.516529, 53.484683",2011-03-10T01:39:17Z,J.H.F. Bloemers,1,Point location,unknown,"{""type"": ""Point"", ""coordinates"": [9.516529, 53.484683]}",darmc-location-23635,precise,representative,640,300,2012-02-15T18:45:27Z,/places/98987/darmc-location-23635,/places/98987,53.484683,"53.484683,9.516529",9.516529,,L,late-antique,"300.0,640.0",DARMC location 23635,03f4d13067ae11ff84a8e1601fcf24f0,,,,,33,Early Modern,AFRICA,1450,340
"Bloemers, J., D. R. Talbert, T. Elliott, S. Gillies","9.280805, 51.498234, 9.280805, 51.498234",2011-03-10T01:40:09Z,J.H.F. Bloemers,1,Point location,unknown,"{""type"": ""Point"", ""coordinates"": [9.280805, 51.498234]}",darmc-location-23656,precise,representative,640,300,2012-02-15T18:45:35Z,/places/98999/darmc-location-23656,/places/98999,51.498234,"51.498234,9.280805",9.280805,,L,late-antique,"300.0,640.0",DARMC location 23656,e8eff712c0f66433839c44102b2ef9fe,,,,,35,Early Modern,AFRICA,1450,340
