authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,,,,,roundedLat,eras,Continent,-2000
"Siewert-Mayer, B., W. RÃ¶llig, H. Kopp, F. Deblauwe, E. Kansa","35.0, 30.0, 40.0, 35.0",2013-09-13T03:08:49Z,"B. Siewert-Mayer, W. RÃ¶llig, H. Kopp",0,Approximate location from the TAVO index,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[35.0, 30.0], [35.0, 35.0], [40.0, 35.0], [40.0, 30.0], [35.0, 30.0]]]}",gane-location-32137,rough,representative,2000,-10000,2013-09-12T23:08:51Z,/places/464208936/gane-location-32137,/places/464208936,32.5,"32.5,37.5",37.5,,P1AAPRTLCAI1LM,"paleolithic-middle-east,1200-bc-middle-east,achaemenid-middle-east,achaemenid-roman-republic-middle-east,ptolemaic-roman-egypt,roman-middle-east,transition-roman-early-empire-late-antique,late-antique-sasanian-middle-east,caliphate-umayyad-middle-east,abassid-middle-east,ilkhanate-middle-east,1500-ad-middle-east,late-ottoman-empire,modern-middle-east","-2600000.0,2000.0",GANE Location 32137,1829d3fd9f286cc1003042cdf3a3c996,,,,,33,Prehistory,EUROPE,-2000
"Siewert-Mayer, B., W. RÃ¶llig, H. Kopp, F. Deblauwe, E. Kansa","47.0, 34.0, 48.0, 35.0",2013-08-22T06:01:11Z,"B. Siewert-Mayer, W. RÃ¶llig, H. Kopp",0,Approximate location from the TAVO index,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[47.0, 34.0], [47.0, 35.0], [48.0, 35.0], [48.0, 34.0], [47.0, 34.0]]]}",gane-location-33192,rough,representative,2000,-10000,2013-08-22T02:01:13Z,/places/903102/gane-location-33192,/places/903102,34.5,"34.5,47.5",47.5,,P1AALPKLOM,"paleolithic-middle-east,1200-bc-middle-east,achaemenid-middle-east,achaemenid-roman-republic-middle-east,late-antique,proto-byzantine,khwarezmian-middle-east,late-ottoman-empire,ottoman-decline-mandate-middle-east,modern-middle-east","-2600000.0,2000.0",GANE Location 33192,041a903dc520f11f0b00dd583076bdfb,,,,,36,Prehistory,AFRICA,-2000
"Becker, J.","38.4, 35.866, 38.4, 35.866",2016-01-28T20:18:27Z,jbecker,0,"Approximate location, following coordinates supplied by GeoHack. Chronology following Moore et al. 2000.","settlement,","{""type"": ""Point"", ""coordinates"": [38.4, 35.866]}",imagery-location-of-tell-abu-hureyra,precise,representative,-9000,-10000,2018-07-18T19:24:18Z,/places/456814175/imagery-location-of-tell-abu-hureyra,/places/456814175,35.866,"35.866,38.4",38.4,,CN,"copy_of_mesolithic-middle-east,natufian-levant","-18000.0,-9000.0",Imagery location of Tell Abu Hureyra,d8c51bcc2ffefde7d33e7b2fe3412d2e,,,,,35,Prehistory,AFRICA,-2000
"Becker, J.","32.828333, 37.6675, 32.828333, 37.6675",2012-11-30T16:01:26Z,jbecker,1,,"settlement,","{""type"": ""Point"", ""coordinates"": [32.828333, 37.6675]}",catalhoeyuk-approximate-centerpoint,precise,representative,-3300,-10000,2016-07-02T15:46:18Z,/places/483473194/catalhoeyuk-approximate-centerpoint,/places/483473194,37.6675,"37.6675,32.828333",32.828333,UWHS,N,neolithic-eastern-med,"-10000.0,-3300.0",Ã‡atalhÃ¶yÃ¼k approximate centerpoint,344d47b87b1fe448ecdac48bce0dc510,,,,,35,Prehistory,AFRICA,-2000
"Becker, J.","32.8264177, 37.6642633, 32.8300671, 37.6687953",2019-06-12T14:17:24Z,jbecker,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[32.8282915, 37.6642633], [32.8274502, 37.6647395], [32.8268752, 37.665197], [32.8264577, 37.6657346], [32.8264177, 37.6672472], [32.8269888, 37.6681188], [32.8278766, 37.6686902], [32.8286566, 37.6687953], [32.8295527, 37.668434], [32.8298348, 37.6678758], [32.8300091, 37.667416], [32.8300671, 37.6665819], [32.8292208, 37.6645654], [32.8286981, 37.6643224], [32.8282915, 37.6642633]]]}",osm-location-of-aatalhapya1-4k,precise,representative,-3300,-10000,2020-06-18T18:20:46Z,/places/483473194/osm-location-of-aatalhapya1-4k,/places/483473194,37.66659317,"37.6665931729,32.8282455857",32.82824559,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Ã‡atalhÃ¶yÃ¼k,2d1a25bde8374a9aba309cac23881d33,,,,,36,Prehistory,AFRICA,-2000
"Becker, J.","21.290224, 40.4856227, 21.290224, 40.4856227",2013-08-02T16:23:40Z,jbecker,2,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [21.290224, 40.4856227]}",location-of-neolithic-dispilio,precise,representative,-3300,-10000,2018-07-12T21:28:43Z,/places/471781651/location-of-neolithic-dispilio,/places/471781651,40.4856227,"40.4856227,21.290224",21.290224,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Neolithic Dispilio,03180b0fad9073013bea7a08d20bbcbf,,,,,33,Prehistory,AFRICA,-2000
"Becker, J.","24.510628, 36.756783, 24.510628, 36.756783",2013-01-27T16:15:37Z,jbecker,0,verified in Google Earth 2013.,"settlement,","{""type"": ""Point"", ""coordinates"": [24.510628, 36.756783]}",location-of-phylakopi,precise,representative,-1000,-10000,2013-01-29T22:58:08Z,/places/280341406/location-of-phylakopi,/places/280341406,36.756783,"36.756783,24.510628",24.510628,,NN2,"neolithic-eastern-med,neolithic-eastern-med,2nd-millenium-bce","-10000.0,-1000.0",location of Phylakopi,1f7ea71b8bc65007baf18775eac1e62b,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","35.922203, 35.306318, 35.922203, 35.306318",2017-05-31T14:07:33Z,jbecker,0,"Coordinates following GeoHack, verified in Google Earth 2017.",settlement,"{""type"": ""Point"", ""coordinates"": [35.922203, 35.306318]}",imagery-location-of-tell-sukas,precise,representative,-1000,-10000,2017-11-29T18:23:05Z,/places/434181559/imagery-location-of-tell-sukas,/places/434181559,35.306318,"35.306318,35.922203",35.922203,,N32,"neolithic-eastern-med,3rd-millennium-bc,2nd-millenium-bce","-10000.0,-1000.0",Imagery location of Tell Sukas,207191abc0fe4c1e8172f3beea541110,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","45.4499786, 33.8833361, 45.4499786, 33.8833361",2017-05-13T18:12:04Z,jbecker,1,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [45.4499786, 33.8833361]}",osm-location-of-choga-mami,precise,representative,-3300,-10000,2017-05-23T15:55:30Z,/places/166031522/osm-location-of-choga-mami,/places/166031522,33.8833361,"33.8833361,45.4499786",45.4499786,,N,neolithic-eastern-med,"-10000.0,-3300.0",OSM location of Choga Mami,6f5db64fe1fa494aaa815b39b2d62326,,,,,32,Prehistory,AFRICA,-2000
"Becker, J.","42.95, 36.483333, 42.95, 36.483333",2017-10-22T02:43:22Z,jbecker,0,Coordinates following GeoHack.,settlement,"{""type"": ""Point"", ""coordinates"": [42.95, 36.483333]}",imagery-location-of-tell-arpachiyah,precise,representative,-3300,-10000,2017-11-29T18:23:57Z,/places/722211788/imagery-location-of-tell-arpachiyah,/places/722211788,36.483333,"36.483333,42.95",42.95,,N,neolithic-eastern-med,"-10000.0,-3300.0",Imagery location of Tell Arpachiyah,414f91b1955f4558842c55dc190d4fbc,,,,,31,Prehistory,AFRICA,-2000
